COLUMN_NAME	DESCRIPTION	LEGAL_VALUES	UNITS
EPA_REG	EPA Region.  No missing values allowed.	Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|	NA
FRAME07	Lake is included or excluded from sample frame for the NLA 2007 survey design. Blank values are not allowed or NA for missing	Exclude|Include| Not Present|	NA
FRAME12	Lake is included or excluded from sample frame for the NLA 2012 survey design.  Blank values are not allowed or NA for missing. 	Exclude|Include| Not Present|	NA
FRAME17	Lake is included or excluded from sample frame for the NLA 2017 survey design.   Blank values are not allowed or NA for missing.	Exclude|Include|Not Present	NA
HUC2	Watershed Boundary Dataset Level 2 Hydrologic Unit Code where lake is located (based on NHDPlusV2 use of HUCs). No missing values allowed.	H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11|H12|H13|H14|H15|H16|H17|H18|H19|H20	NA
HUC2_NM	Watershed Boundary Dataset Level 2 Hydrologic Unit Region Name where lake is located. No missing values allowed.	Arkansas-Red-White Region|California Region|Great Basin Region|Great Lakes Region|Lower Colorado Region|Lower Mississippi Region|Missouri Region|Mid-Atlantic Region|New England Region|Ohio Region|Pacific Northwest Region|Rio Grande Region|Souris-Red-Rainy Region|South Atlantic Region|Tennessee Region|Texas Region|Upper Colorado Region|Upper Mississippi Region|	NA
LAKE_ORGN	"Lake origin, based on evaluation on map or in field"	MAN_MADE|NATURAL|UNCERTAIN|UNKNOWN	NA
LAT_DD83	"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD.   No missing values allowed."	NA	NA
LON_DD83	"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD.  No missing values allowed."	NA	NA
MAJ_BAS_NM	Major USGS Hydrologic Basins derived from NHDPlus names Text of 16 basin names	Arkansas-White-Red Region|California Region| Great Basin Region|Great Lakes Region|Lower Colorado Region|Lower Mississippi Region|Mid Atlantic Region|Missouri Region|New England Region|Ohio-Tennessee Region|Pacific Northwest Region|Rio Grande-Texas-Gulf Region|Souris-Red-Rainy Region|South Atlantic Gulf Region|Upper Colorado Region|Upper Mississippi Region|	NA
MAJ_BASIN	Major USGS Hydrologic Basins derived from NHDPlus codes Text of 16 basin codes from 01 to 18 with 05_06 and 12_13 combined preceeded by letter H	H01|H02|H03|H04|H05_06|H07|H08|H09|H10|H11|H12_13|H14|H15|H16|H17|H18	NA
MISS_BASIN	"Within Mississippi Basin or outside, based on MAJ_BAS_NM values"	MISSISSIPPI_BASIN|NOT_MISSISSIPPI_BASIN	NA
PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	NA	NA
SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."	NA	NA
TNT_CAT	NLA target status assigned based on lake evaluation for use in national assessments	Target|Non_Target|None	NA
URBN_NLA07	Lake identified as an urban lake using 2007 definition of Urban. No missing or blank values allowed	Urban|Non-Urban|	NA
URBN_NLA17	Lake identified as an urban lake using 2017 definition of Urban. No missing or blank values allowed	Urban|Non-Urban|	NA
WGT_TP	NLA adjusted weight for lake when want estimates to be for the Target Population. Includes weight adjustments to account for sites with unknow status and when lake status is known to be target but not sampled. Note: >0 or 0 if site is not to be used for target population estimation	NA	NA
XCOORD	x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii or Alaska lakes which are calculated from Hawaii or Alaska Albers Equal Area Conic projectionNo missing values allowed.	NA	NA
YCOORD	y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii or Alaska lakes which are calculated from Hawaii or Alaska Albers Equal Area Conic projection. No missing values allowed.	NA	NA
YEAR	Year site was evaluated that determined the evaluation status (IND_GROUP = EXTENT) for the lake  within a DSGN_CYCLE of a STUDY. 	NA	NA
VISIT_NO	Sequential number of visit to site	|1|2	NA
MMI_ZOOP_2017	Zooplankton MMI score based on 2017 revision and tow volume corrections.	NA	NA
DO_SURF	Mean DO in upper 2 m	NA	mg/L
