"TABLE_NAME"	"SAMPLE_TYPE"	"COLUMN_NAME"	"DESCRIPTION"	"LABEL"	"LEGAL_VALUES"	"RANGE_HIGH"	"RANGE_LOW"	"UNITS"
"tblSITETRUTH"	"DESIGN"	"CNTYNAME"		"County name (source ESRI counties based on census 2010).  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"COMID"		"NHD common identifier for NLA 2012 sampling frame and subsequent designs. Genrally,  no missing values allowed but it is possible that a few lakes may not be in sample frame if from a state study or are hand-picked lakes. "				
"tblSITETRUTH"	"DESIGN"	"DES_FTYPE"		"NLA design feature type (based on NHD feature type)"				
"tblSITETRUTH"	"DESIGN"	"ELEVATION"		"Elevation at lake coordinates (LAT_DD_N83, LON_DD_N83) from NHD Digital Elevation Map layer"				
"tblSITETRUTH"	"DESIGN"	"EPA_REG"		"EPA Region.  No missing values allowed."	"Region_01|Region_02|Region_03|Region_04|Region_05|Region_06|Region_07|Region_08|Region_09|Region_10|"			
"tblSITETRUTH"	"DESIGN"	"EVAL_CAT"		"NLA site evaluation result. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"FCODE"		"NHD 5-digit code for feature type"				
"tblSITETRUTH"	"DESIGN"	"FEOW_ID"		"Freshwater Ecoregions of the World (2015) code"				
"tblSITETRUTH"	"DESIGN"	"FRAME07"		"Lake is included or excluded from sample frame for the NLA 2007 survey design. Blank values are not allowed or NA for missing"	"Exclude|Include| Not Present|"			
"tblSITETRUTH"	"DESIGN"	"FRAME12"		"Lake is included or excluded from sample frame for the NLA 2012 survey design.  Blank values are not allowed or NA for missing. "	"Exclude|Include| Not Present|"			
"tblSITETRUTH"	"DESIGN"	"FRAME17"		"Lake is included or excluded from sample frame for the NLA 2017 survey design.   Blank values are not allowed or NA for missing."	"Exclude|Include|Not Present"			
"tblSITETRUTH"	"DESIGN"	"FRAME17_ID"		"Sample frame unit identification code assigned by Survey Design staff"				
"tblSITETRUTH"	"DESIGN"	"FS_EW"		"Eastern or western US Forest Service land. Not_USFS if not US Forest Service land.  No missing values allowed"	"East|West|Not_USFS|"			
"tblSITETRUTH"	"DESIGN"	"FTYPE"		"NHD feature type"				
"tblSITETRUTH"	"DESIGN"	"GNIS_ID"		"Goegraphic Names Information System ID (from NHD)"				
"tblSITETRUTH"	"DESIGN"	"GNIS_NAME"		"USGS Geographic Names Information System name (from NHD)"				
"tblSITETRUTH"	"DESIGN"	"HUC2"		"Watershed Boundary Dataset Level 2 Hydrologic Unit Code where lake is located (based on NHDPlusV2 use of HUCs). No missing values allowed."	"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11|H12|H13|H14|H15|H16|H17|H18|H19|H20"			
"tblSITETRUTH"	"DESIGN"	"HUC2_NM"		"Watershed Boundary Dataset Level 2 Hydrologic Unit Region Name where lake is located. No missing values allowed."	"Arkansas-Red-White Region|California Region|Great Basin Region|Great Lakes Region|Lower Colorado Region|Lower Mississippi Region|Missouri Region|Mid-Atlantic Region|New England Region|Ohio Region|Pacific Northwest Region|Rio Grande Region|Souris-Red-Rainy Region|South Atlantic Region|Tennessee Region|Texas Region|Upper Colorado Region|Upper Mississippi Region|"			
"tblSITETRUTH"	"DESIGN"	"HUC8"		"Watershed Boundary Dataset Level 8 Hydrologic Unit Code where lake is located. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"HUC8_NM"		"Watershed Boundary Dataset Level 8 Hydrologic  Cataloging Unit Name where lake is located.  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"LAKE_ORGN"		"Lake origin, based on evaluation on map or in field"	"MAN_MADE|NATURAL|UNCERTAIN|UNKNOWN"			
"tblSITETRUTH"	"DESIGN"	"LAT_DD83"		"Latitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always, represents centriod of lake polygon in NHD.   No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"LON_DD83"		"Longitude (based on NAD83 datum) assigned to lake during site selection from NHD-based sample frame. Generally, but not always represents centriod of lake polygon in NHD.  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"MAJ_BAS_NM"		"Major USGS Hydrologic Basins derived from NHDPlus names Text of 16 basin names"	"Arkansas-White-Red Region|California Region| Great Basin Region|Great Lakes Region|Lower Colorado Region|Lower Mississippi Region|Mid Atlantic Region|Missouri Region|New England Region|Ohio-Tennessee Region|Pacific Northwest Region|Rio Grande-Texas-Gulf Region|Souris-Red-Rainy Region|South Atlantic Gulf Region|Upper Colorado Region|Upper Mississippi Region|"			
"tblSITETRUTH"	"DESIGN"	"MAJ_BASIN"		"Major USGS Hydrologic Basins derived from NHDPlus codes Text of 16 basin codes from 01 to 18 with 05_06 and 12_13 combined preceeded by letter H"	"H01|H02|H03|H04|H05_06|H07|H08|H09|H10|H11|H12_13|H14|H15|H16|H17|H18"			
"tblSITETRUTH"	"DESIGN"	"NA_L1CODE"		"CEC North American Level I ecoregion code.  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"NA_L1NAME"		"CEC North American Level I ecoregion name.  No missing values allowed."	"EASTERN TEMPERATE FORESTS|GREAT PLAINS|MARINE WEST COAST FOREST|MEDITERRANEAN CALIFORNIA|NORTH AMERICAN DESERTS|NORTHERN FORESTS|NORTHWESTERN FORESTED MOUNTAINS|SOUTHERN SEMI-ARID HIGHLANDS|TEMPERATE SIERRAS|TROPICAL WET FORESTS|"			
"tblSITETRUTH"	"DESIGN"	"NA_L2CODE"		"CEC North American Level II ecoregion code. Form is  n.n where leading is L1 and following is level 2  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"NA_L2NAME"		"CEC North American Level II ecoregion name.  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"NARS_NAME"		"Name of lake from field evaluation or GNIS NAME if the same.  Missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"NES_LAKE"		"Was lake included in the 1970s National Eutrophication Survey?  Missing values allowed."	"NESLake|Not_NES|"			
"tblSITETRUTH"	"DESIGN"	"NESLAKE_ID"		"NES Lake ID number. Missing values allowed"				
"tblSITETRUTH"	"DESIGN"	"NESSTORET"		"STORET ID number assigned to NES lake (from NLA 2007)"				
"tblSITETRUTH"	"DESIGN"	"OWN_NARS"		"Land ownership category used by NARS. Text of 13 land ownership category names. Similar to OWN_TYPE  in USGS PADUS dataset except that Federal_Land is separated into major federal agencies.   No missing values allowed."	"BLM|DOD|USFS|FWS|Jointly Owned|Local Government|Native American|Non-Governmental Organization| NPS|Other Fed|Private|Regional Agency|State|"			
"tblSITETRUTH"	"DESIGN"	"PANEL_RVST"		"Survey of time panels that identifies which lakes were visited in which design cycle.  Form is SSS_Y1_Y2_Y3_etc where SSS is abbreviation for the STUDY and Yi identifies year visited which is \"NO\" if no visit in that design cyle. For HAND sites, panel value is \"NONE\". No missing values allowed."	"NLA_07|NLA_07_NO| NLA_07_12|NLA_NO_12|NLA_07_NO_NO|NLA_07_12_NO|NLA_07_NO_17|NLA_07_12_17|NLA_NO_12_NO|NLA_NO_12_17|NLA_NO_NO_17|HAND|"			
"tblSITETRUTH"	"DESIGN"	"PANEL_SOT"		"Survey over time panels apply only to probability-based lake objects. Hand-picked lake objects are assigned value of HAND. Possible panels are 1. NLA_07_NO_NO 2. NLA_07_12_NO 3. NLA_07_12_17 4. NLA_NO_12_NO 5. NLA_NO_12_17 6. NLA_NO_NO_17. Note that even though the panel names are the same as PANEL_RVST, the latter also has panel NLA_07_NO_17 which is the result of new lake objects being selected in 2017 that happened to also be selected in 2007. Similar situation occurs with 2012 new sites. Both of these result in differences in lake object assignment to PANEL_SOT"	"NLA_07|NLA_07_NO| NLA_07_12|NLA_NO_12|NLA_07_NO_NO|NLA_07_12_NO|NLA_07_NO_17|NLA_07_12_17|NLA_NO_12_NO|NLA_NO_12_17|NLA_NO_NO_17|HAND|"			
"tblSITETRUTH"	"DESIGN"	"PANEL_USE"		"NLA Panel Assignment.  Text that has form NLAnn_mmXXXn_YYYY  where nn is current cycle year (07, 12, 17, etc), mm is cycle year lake was first selected for sampling, XXXn denotes revisit status, and YYYY denotes base or over sample status.  XXXn equals either RVT2 (if site should be visited twice in current cycle year) or RVT (if site should be visited once in current cycle and was previously visited in a prior cycle year) and is blank otherwise.  YYYY  is either blank (if the lake site is a base site) or equals OverSamp (if the lake site is an over sample site).  Note: For state specific designs, state two letter code is added.  If HAND-picked site, assign as \"HAND\"."				
"tblSITETRUTH"	"DESIGN"	"PANEL_WGT"		"A weight adjustment panel variable is required for weight adjustment (PANEL_WGT) that identifies the panels required for weight adjustment. Panels with the pattern NLAYY_YY are new lake objects selected to be sampled in that year. NLAY2_Y1_NTS sites were sampled in year Y1 but not selected for resampling in year Y2, and NLAY2_Y1_TSS were target sampled in year Y1 and were selected for resampling in year Y2."	"For initial design cycle: NLA07_07. For second design cycle: NLA12_07_NTS, NLA12_07_TSNS, NLA12_07_TSS and NWC12_12. For third design cycle: NLA17_07_NTS, NLA17_07_TSNS, NLA17_07_TSS, NLA17_12_NTS, NLA17_12_TSNS, NLA17_12_TSS, NLA17_17.  Hand-picked sites are NONE"			
"tblSITETRUTH"	"DESIGN"	"PERIM_KM"		"NHD lake polygon perimeter (kilometers). No missing values allowed"				
"tblSITETRUTH"	"DESIGN"	"PROB_CAT"		"NLA unequal probability categories used within a stratum. Missing values valid for Hand-picked sites as they are not a site from probability design."				
"tblSITETRUTH"	"DESIGN"	"PSTL_CODE"		"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"REACHCODE"		"NHD Reach code assigned"				
"tblSITETRUTH"	"DESIGN"	"SF_ST_ID"		"Lake ID from a State sample frame "				
"tblSITETRUTH"	"DESIGN"	"SITE_ID"		"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"SITETYPE"		"Site type (Probability-based or hand-picked)"	"PROB|HAND|"			
"tblSITETRUTH"	"DESIGN"	"SOURCE"		"Sample frame source (e.g. NHDPlus, NHD High Res or state sample frames)"	"NLA2012Frame Only|NHD High Res Lake Snapshot Only|MN High Res Lake Frame|NLA2017 Hand Picked Not in NLA Frame|NLA2012Frame and NH High Res Lake Frame|NHD High Res Lake Snapshot and NH High Res Lake Frame|"			
"tblSITETRUTH"	"DESIGN"	"STATE_NM"		"State name, no missing or blank values allowed"				
"tblSITETRUTH"	"DESIGN"	"STATE_PCT"		"Percent of lake area occurring in STATE. 50 to 100 since lake assigned to state if >= 50%"	"50 to 100|"			
"tblSITETRUTH"	"DESIGN"	"STATECTY"		"FIPS state and county code.  No missing values allowed"				
"tblSITETRUTH"	"DESIGN"	"STRATUM"		"Strata used in the NLA survey design"				
"tblSITETRUTH"	"DESIGN"	"STUDY"			"NLA|"			
"tblSITETRUTH"	"DESIGN"	"TNT_CAT"		"NLA target status assigned based on lake evaluation for use in national assessments"	"Target|Non_Target|None"			
"tblSITETRUTH"	"DESIGN"	"URBN_NLA07"		"Lake identified as an urban lake using 2007 definition of Urban. No missing or blank values allowed"	"Urban|Non-Urban|"			
"tblSITETRUTH"	"DESIGN"	"URBN_NLA17"		"Lake identified as an urban lake using 2017 definition of Urban. No missing or blank values allowed"	"Urban|Non-Urban|"			
"tblSITETRUTH"	"DESIGN"	"US_L3CODE"		"Omernik Level III ecoregion code. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"US_L3NAME"		"Omernik Level III ecoregion name. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"US_L4CODE"		"Omernik Level IV ecoregion code. Level III code plus aphabetic ending identifying Level IV subregion. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"US_L4NAME"		"Omernik Level IV ecoregion name. No missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"WGT_CAT"		"NLA categories used to adjust weights for each lake. HAND sites set to \"blank\"."				
"tblSITETRUTH"	"DESIGN"	"WGT_TP_CORE"	"NLA adjusted weight for lake for population estimates of target population based on sampled probability sites. Weights represent number of lakes. Value is 0 if site is not to be used for estimates."					
"tblSITETRUTH"	"DESIGN"	"WGT_TP_EXTENT"	"NLA adjusted weight for lake for extent estimates of target population based on all probability sites evaluated. Includes weight adjustments to account for sites with unknown status and target but unsampled sites. Weights represent number of lakes. Value is 0 if site is not to be used for estimates."					
"tblSITETRUTH"	"DESIGN"	"XCOORD"		"x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii or Alaska lakes which are calculated from Hawaii or Alaska Albers Equal Area Conic projectionNo missing values allowed."				
"tblSITETRUTH"	"DESIGN"	"YCOORD"		"y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii or Alaska lakes which are calculated from Hawaii or Alaska Albers Equal Area Conic projection. No missing values allowed."				
"tblVERIFICATION"	"EVAL"	"SITESAMP"		"Did you sample this site (Y/N)"	"Y|N"			
"tblVERIFICATION"	"VERIF"	"DATE_COL"		"Date of sample collection"				"None"
"tblVERIFICATION"	"VERIF"	"SITE_ID"		"Identification code for site"				
"tblVERIFICATION"	"VERIF"	"VISIT_NO"		"Sequential number of visit to site"	"|1|2"			
		"UID"		"Unique identifier for the site/visit"				
		"STUDY"		"Name of the study.  A unique lake may belong to multiple studies. Text. For NLA all studies are \"NLA\" but have different DSGN_CYCLE"				
		"SITETYPE"		"Site type (probability-based or hand-picked) used in the NLA  survey design PROB | HAND. PROB for sites from probability survey.  Usually HAND for hand-picked lakes."				
		"UNIQUE_ID"		"Unique site ID based on location that does not depend on year sampled or any other factor. Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001. Includes both PROB and HAND lake types"				
