COLUMN_NAME	LABEL	LEGAL_VALUES
FC_LEDGES_DD_COMMENT	Comment for percent fish cover by ledges in the drawdown zone	
FC_LIVETREES_COMMENT	"Comment for Fish cover live trees (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
FC_LIVETREES_DD_COMMENT	Comment for percent fish cover by live trees in the drawdown zone	
FC_OVERHANG_COMMENT	"Comment for Fish cover overhanging vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
FC_OVERHANG_DD_COMMENT	Comment for percent fish cover by overhanging veg in the drawdown zone	
FC_SNAGS_COMMENT	"Comment for Fish cover woody debris/snags (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
FC_SNAGS_DD_COMMENT	Comment for percent fish cover by snags in the drawdown zone	
FC_STRUCTURES_COMMENT	"Comment for Fish cover human structures (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
FC_STRUCTURES_DD_COMMENT	Comment for percent fish cover by human structures in the drawdown zone	
GC_BARE_COMMENT	"Comment for Ground cover bare (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
GC_BARE_DD_COMMENT	Comment for percent ground uncovered in the drawdown zone	
GC_INUNDATED_COMMENT	"Comment for Ground cover inundated vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
GC_INUNDATED_DD_COMMENT	Comment for percent ground cover by inundation in the drawdown zone	
GC_NONWOODY_COMMENT	"Comment for Ground cover nonwoody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
GC_NONWOODY_DD_COMMENT	Comment for percent ground cover by nonwoody veg in the drawdown zone	
GC_WOODY_COMMENT	"Comment for Ground cover woody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
GC_WOODY_DD_COMMENT	Comment for percent ground cover by woody veg in the drawdown zone	
HI_BUILDINGS_COMMENT	Comment for Human influence buildings (O=non present/P=present outside plot/C=present w/i plot)	
HI_BUILDINGS_DD_COMMENT	Comment for Human influence by buildings in the drawdown zone	
HI_COMMERCIAL_COMMENT	Comment for Human influence commercial(O=non present/P=present outside plot/C=present w/i plot)	
HI_COMMERCIAL_DD_COMMENT	Comment for Human influence by commercial use in the drawdown zone	
HI_CROPS_COMMENT	Comment for Human influence row crops (O=non present/P=present outside plot/C=present w/i plot)	
HI_CROPS_DD_COMMENT	Comment for Human influence by row crops in the drawdown zone	
HI_DOCKS_COMMENT	Comment for Human influence docks(O=non present/P=present outside plot/C=present w/i plot)	
HI_DOCKS_DD_COMMENT	Comment for Human influence by docks in the drawdown zone	
HI_LANDFILL_COMMENT	Comment for Human influence landfill(O=non present/P=present outside plot/C=present w/i plot)	
HI_LANDFILL_DD_COMMENT	Comment for Human influence by landfill in the drawdown zone	
HI_LAWN_COMMENT	Comment for Human influence lawn (O=non present/P=present outside plot/C=present w/i plot)	
HI_LAWN_DD_COMMENT	Comment for Human influence by lawn in the drawdown zone	
HI_ORCHARD_COMMENT	Comment for Human influence orchard (O=non present/P=present outside plot/C=present w/i plot)	
HI_ORCHARD_DD_COMMENT	Comment for Human influence by orchards in the drawdown zone	
HI_OTHER_COMMENT	Comment for Human influence other (O=non present/P=present outside plot/C=present w/i plot)	
HI_OTHER_DD_COMMENT	Comment for Human influence by other in the drawdown zone	
HI_PARK_COMMENT	Comment for Human influence park facilities (O=non present/P=present outside plot/C=present w/i plot)	
HI_PARK_DD_COMMENT	Comment for Human influence by park in the drawdown zone	
HI_PASTURE_COMMENT	Comment for Human influence pasture (O=non present/P=present outside plot/C=present w/i plot)	
HI_PASTURE_DD_COMMENT	Comment for Human influence by pasture in the drawdown zone	
HI_POWERLINES_COMMENT	Comment for Human influence powerlines(O=non present/P=present outside plot/C=present w/i plot)	
HI_POWERLINES_DD_COMMENT	Comment for Human influence by powerlines in the drawdown zone	
HI_ROADS_COMMENT	Comment for Human influence roads (O=non present/P=present outside plot/C=present w/i plot)	
HI_ROADS_DD_COMMENT	Comment for Human influence by roads in the drawdown zone	
HI_WALLS_COMMENT	Comment for Human influence walls (O=non present/P=present outside plot/C=present w/i plot)	
HI_WALLS_DD_COMMENT	Comment for Human influence by walls in the drawdown zone	
SS_BEDROCK_COMMENT	Comment for percent cover by bedrock on shore 1-M zone	
SS_BOULDERS_COMMENT	Comment for percent cover by boulders on shore 1-M zone	
SS_COBBLE_COMMENT	Comment for percent cover by cobble on shore 1-M zone	
SS_GRAVEL_COMMENT	Comment for percent cover by gravel on shore 1-M zone	
SS_ORGANIC_COMMENT	Comment for percent cover by organic on shore 1-M zone	
SS_OTHER_COMMENT	Comment for percent cover by other on shore 1-M zone	
SS_SAND_COMMENT	Comment for percent cover by sand on shore 1-M zone	
SS_SILT_COMMENT	Comment for percent cover by silt on shore 1-M zone	
SS_WOOD_COMMENT	Comment for percent cover by woody on shore 1-M zone	
U_NONWOODY_COMMENT	"Comment for Understory - nonwoody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
U_NONWOODY_DD_COMMENT	Comment for percent understory cover by nonwoody veg in the drawdown zone	
U_WOODY_COMMENT	"Comment for Understory woody (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"	
U_WOODY_DD_COMMENT	Comment for percent understory cover by woody veg in the drawdown zone	
