"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"RANGE_HIGH"	"RANGE_LOW"	"SCREEN_PASS"	"UNITS"	"VAR_TYPE"
"ASPLAN300_PTAX"	"Percent of distinct taxa within the rotifer family Asplanchnidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM_BIO"	"Biomass represented by individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"1500"	"0"			
"BOSM_DEN"	"Density (indiv./L) of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"5000"	"0"	"YES"		
"BOSM_NAT_BIO"	"Biomass represented by native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"1500"	"0"	"YES"		
"BOSM_NAT_DEN"	"Density (indiv./L) of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"5000"	"0"	"YES"		
"BOSM_NAT_NTAX"	"Number of distinct native taxa within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"10"	"0"			
"BOSM_NAT_PBIO"	"Percent of biomass represented by native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM_NAT_PDEN"	"Percent of density (indiv./L) of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"			
"BOSM_NAT_PIND"	"Percent of native individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM_NAT_PTAX"	"Percent of distinct native taxa within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM_NTAX"	"Number of distinct taxa within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"10"	"0"			
"BOSM_PBIO"	"Percent of biomass represented by individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"			
"BOSM_PDEN"	"Percent of density (indiv./L) of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"			
"BOSM_PIND"	"Percent of individuals within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM_PTAX"	"Percent of total distinct taxa that are within the cladoceran family Bosminidae (coarse and fine net samples combined)"		"100"	"0"			
"BOSM300_BIO"	"Biomass represented by individuals within the cladoceran family Bosminidae in the 300-count subsampless (coarse and fine net subsamples combined)"		"1500"	"0"			
"BOSM300_NAT_BIO"	"Biomass represented by native individuals within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net subsamples combined)"		"1500"	"0"	"YES"		
"BOSM300_NAT_NTAX"	"Number of distinct native taxa within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"			
"BOSM300_NAT_PBIO"	"Percent of biomass represented by native individuals within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM300_NAT_PIND"	"Percent of native individuals within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM300_NAT_PTAX"	"Percent of distinct native taxa within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM300_NTAX"	"Number of distinct taxa within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"			
"BOSM300_PBIO"	"Percent of biomass represented by individuals within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"BOSM300_PIND"	"Percent of individuals within the cladoceran family Bosminidae in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"BOSM300_PTAX"	"Percent of total distinct taxa that are within the cladoceran family Bosminidae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CALAN_BIO"	"Biomass represented by individuals within the copepod order Calanoidea (coarse and fine net samples combined)"		"1500"	"0"	"YES"		
"CALAN_DEN"	"Density (indiv./L) of individuals within the copepod order Calanoidea (coarse and fine net samples combined)"		"1000"	"0"	"YES"		
"CALAN_NAT_BIO"	"Biomass represented by native individuals within the copepod order Calanoidea (coarse and fine net samples combined)"		"1500"	"0"	"YES"		
"CALAN_NAT_DEN"	"Density (indiv./L) of native individuals within the copepod order Calanoidea (coarse and fine net samples combined)"		"1000"	"0"			
"CALAN_NAT_NTAX"	"Number of distinct native taxa within the copepod order Calanoidea (coarse and fine net samples combined)"		"10"	"0"	"YES"		
"CALAN_NAT_PBIO"	"Percent of biomass represented by native individuals within the order Calanoidea (coarse and fine net samples combined)"		"100"	"0"			
"CALAN_NAT_PDEN"	"Percent of density (indiv./L) of native individuals within the copepod order Calanoidea (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"CALAN_NAT_PIND"	"Percent of native individuals within the order Calanoidea (coarse and fine net samples combined) "		"100"	"0"			
"CALAN_NAT_PTAX"	"Percent of distinct native taxa within the order Calanoidea (coarse and fine net samples combined) "		"100"	"0"			
"CALAN_NTAX"	"Number of distinct taxa within the copepod order Calanoidea (coarse and fine net samples combined)"		"10"	"0"	"YES"		
"CALAN_PBIO"	"Percent of biomass represented by individuals within the order Calanoidea (coarse and fine net samples combined)"		"100"	"0"			
"CALAN_PDEN"	"Percent of density (indiv./L) of individuals within the copepod order Calanoidea (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"CALAN_PIND"	"Percent of individuals within the order Calanoidea (coarse and fine net samples combined) "		"100"	"0"			
"CALAN_PTAX"	"Percent of distinct taxa within the order Calanoidea (coarse and fine net samples combined) "		"100"	"0"	"YES"		
"CALAN300_BIO"	"Biomass represented by individuals within the copepod order Calanoidea based on 300-count subsampless (coarse and fine net subsamples combined)"		"1500"	"0"	"YES"		
"CALAN300_NAT_BIO"	"Biomass represented by native individuals within the copepod order Calanoidea in the 300-count subsamples (coarse and fine net subsamples combined)"		"1500"	"0"	"YES"		
"CALAN300_NAT_NTAX"	"Number of distinct native taxa within the copepod order Calanoidea in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"	"YES"		
"CALAN300_NAT_PBIO"	"Percent of biomass represented by native individuals within the order Calanoidea in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CALAN300_NAT_PIND"	"Percent of native individuals within the order Calanoidea in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"			
"CALAN300_NAT_PTAX"	"Percent of distinct native taxa within the order Calanoidea in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"			
"CALAN300_NTAX"	"Number of distinct taxa within the copepod order Calanoidea in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"	"YES"		
"CALAN300_PBIO"	"Percent of biomass represented by individuals within the order Calanoidea in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CALAN300_PIND"	"Percent of individuals within the order Calanoidea in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"			
"CALAN300_PTAX"	"Percent of distinct taxa within the order Calanoidea in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"	"YES"		
"CLAD_BIO"	"Biomass represented by individuals within the suborder Cladocera (coarse and fine net samples combined)"		"3000"	"0"			
"CLAD_DEN"	"Density (indiv./L) of individuals within the suborder Cladocera (coarse and fine net samples combined)"		"6000"	"0"	"YES"		
"CLAD_HERB_BIO"	"Biomass represented by individuals within the suborder Cladocera that are herbivores"		"3000"	"0"			
"CLAD_HERB_DEN"	"Density (indiv./L) of individuals within the suborder Cladocera that are herbivores (coarse and fine net samples combined)"		"6000"	"0"	"YES"		
"CLAD_HERB_NTAX"	"Number of distinct cladoceran taxa that are herbivores (coarse and fine net samples combined)"		"20"	"0"			
"CLAD_HERB_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera that are herbivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_HERB_PDEN"	"Percent of density (indiv./L) of individuals within the suborder Cladocera that are herbivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_HERB_PIND"	"Percent of individuals within the suborder Cladocera that are herbivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_HERB_PTAX"	"Percent of distinct taxa within the suborder Cladocera that are herbivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_HERB300_BIO"	"Biomass represented by individuals within the subclass Cladocera that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"3000"	"0"	"YES"		
"CLAD_HERB300_NTAX"	"Number of distinct cladoceran taxa that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"20"	"0"			
"CLAD_HERB300_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera that are herbivores in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_HERB300_PIND"	"Percent of individuals within the suborder Cladocera that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_HERB300_PTAX"	"Percent of distinct taxa within the suborder Cladocera that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_NAT_BIO"	"Biomass represented by native individuals within the suborder Cladocera (coarse and fine net samples combined)"		"3000"	"0"			
"CLAD_NAT_DEN"	"Density (indiv./L) of native individuals within the suborder Cladocera (coarse and fine net samples combined)"		"6000"	"0"	"YES"		
"CLAD_NAT_NTAX"	"Number of distinct native taxa within the subclass Cladocera (coarse and fine net samples combined)"		"20"	"0"			
"CLAD_NAT_PBIO"	"Percent of biomass represented by native individuals within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_NAT_PDEN"	"Percent of density (indiv./L) of native individuals within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_NAT_PIND"	"Percent of native individuals within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_NAT_PTAX"	"Percent of native taxa within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_NTAX"	"Number of distinct taxa within the subclass Cladocera (coarse and fine net samples combined)"		"20"	"0"			
"CLAD_OMNI_BIO"	"Biomass represented by individuals within the suborder Cladocera that are omnivores"		"0.5"	"0"			
"CLAD_OMNI_DEN"	"Density (indiv./L) of individuals within the suborder Cladocera that are omnivores (coarse and fine net samples combined)"		"0.5"	"0"			
"CLAD_OMNI_NTAX"	"Number of distinct cladoceran taxa that are omnivores (coarse and fine net samples combined)"		"5"	"0"			
"CLAD_OMNI_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_OMNI_PDEN"	"Percent of density (indiv./L) of individuals within the suborder Cladocera that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_OMNI_PIND"	"Percent of individuals within the suborder Cladocera that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_OMNI_PTAX"	"Percent of distinct taxa within the suborder Cladocera that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_OMNI300_BIO"	"Biomass represented by individuals within the subclass Cladocera that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"0.5"	"0"			
"CLAD_OMNI300_NTAX"	"Number of distinct cladoceran taxa that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"5"	"0"			
"CLAD_OMNI300_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera that are omnivores in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_OMNI300_PIND"	"Percent of individuals within the suborder Cladocera that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_OMNI300_PTAX"	"Percent of distinct taxa within the suborder Cladocera that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PDEN"	"Percent of density (indiv./L) of individuals within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PIND"	"Percent of individuals within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED_BIO"	"Biomass represented by individuals within the suborder Cladocera that are predators"		"1.5"	"0"			
"CLAD_PRED_DEN"	"Density (indiv.L) of individuals within the suborder Cladocera that are predators (coarse and fine net samples combined)"		"0.5"	"0"			
"CLAD_PRED_NTAX"	"Number of distinct cladoceran taxa that are predators (coarse and fine net samples combined)"		"5"	"0"			
"CLAD_PRED_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera that are predators (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED_PDEN"	"Percent of density (indiv.L) of individuals within the suborder Cladocera that are predators (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED_PIND"	"Percent of individuals within the suborder Cladocera that are predators (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED_PTAX"	"Percent of distinct taxa within the suborder Cladocera that are predators (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED300_BIO"	"Biomass represented by individuals within the subclass Cladocera that are predators in the 300-count subsamples (coarse and fine net samples combined)"		"1.5"	"0"			
"CLAD_PRED300_NTAX"	"Number of distinct cladoceran taxa that are predators in the 300-count subsamples (coarse and fine net samples combined)"		"5"	"0"			
"CLAD_PRED300_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera that are predators in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED300_PIND"	"Percent of individuals within the suborder Cladocera that are predators in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD_PRED300_PTAX"	"Percent of distinct taxa within the suborder Cladocera that are predators in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"CLAD_PTAX"	"Percent of distinct taxa within the suborder Cladocera (coarse and fine net samples combined)"		"100"	"0"			
"CLAD300_BIO"	"Biomass represented by individuals within the suborder Cladocera in 300-count subsamples (coarse and fine net subsamples combined)"		"3000"	"0"	"YES"		
"CLAD300_NAT_BIO"	"Biomass represented bynative individuals within the suborder Cladocera in the 300-count subsamples (coarse and fine net subsamples combined)"		"3000"	"0"	"YES"		
"CLAD300_NAT_NTAX"	"Number of distinct native taxa within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"20"	"0"			
"CLAD300_NAT_PBIO"	"Percent of biomass represented by native individuals within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD300_NAT_PIND"	"Percent of native individuals within the suborder Cladocera in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD300_NAT_PTAX"	"Percent of native taxa within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD300_NTAX"	"Number of distinct taxa within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"20"	"0"			
"CLAD300_PBIO"	"Percent of biomass represented by individuals within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD300_PIND"	"Percent of individuals within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"CLAD300_PTAX"	"Percent of distinct taxa within the suborder Cladocera in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COARSE_BIO"	"Biomass represented by individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"3000"	"0"			
"COARSE_DEN"	"Density (indiv./L) of individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"7000"	"0"	"YES"		
"COARSE_NAT_BIO"	"Biomass represented by individuals of native larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"3000"	"0"			
"COARSE_NAT_DEN"	"Density (indiv./L) of native individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"7000"	"0"	"YES"		
"COARSE_NAT_NTAX"	"Number of distinct larger-sized native taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined)"		"25"	"0"			
"COARSE_NAT_PBIO"	"Percent of biomass represented by native individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COARSE_NAT_PDEN"	"Percent of density (indiv./L) of native individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"100"	"0"			
"COARSE_NAT_PIND"	"Percent of native individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined)"		"100"	"0"			
"COARSE_NAT_PTAX"	"Percent of distinct larger-sized native taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COARSE_NTAX"	"Number of distinct larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined)"		"25"	"0"			
"COARSE_PBIO"	"Percent of biomass represented by individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COARSE_PDEN"	"Percent of density (indiv./L) of individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"100"	"0"			
"COARSE_PIND"	"Percent of individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined)"		"100"	"0"			
"COARSE_PTAX"	"Percent of distinct larger-sized taxa (NET_SIZECLS_NEW=COARSE; coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COARSE300_BIO"	"Biomass represented by individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net subsamples combined) "		"3000"	"0"	"YES"		
"COARSE300_NAT_BIO"	"Biomass represented by native individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net subsamples combined) "		"3000"	"0"	"YES"		
"COARSE300_NAT_NTAX"	"Number of distinct native larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined)"		"25"	"0"			
"COARSE300_NAT_PBIO"	"Percent of biomass represented by native individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COARSE300_NAT_PIND"	"Percent of native individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COARSE300_NAT_PTAX"	"Percent of distinct larger-sized native taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"			
"COARSE300_NTAX"	"Number of distinct larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined)"		"25"	"0"			
"COARSE300_PBIO"	"Percent of biomass represented by individuals of larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COARSE300_PIND"	"Percent of individuals within larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COARSE300_PTAX"	"Percent of distinct larger-sized taxa (NET_SIZECLS_NEW=COARSE) in the 300-count subsamples (coarse and fine net samples combined) "		"100"	"0"			
"COLLO_BIO"	"Biomass represented by individuals within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"40"	"0"	"YES"		
"COLLO_DEN"	"Density (indiv./L) of individuals within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"2000"	"0"			
"COLLO_NTAX"	"Number of distinct taxa within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"5"	"0"			
"COLLO_PBIO"	"Percent of biomass represented by individuals within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COLLO_PDEN"	"Percent of density (indiv./L) of individuals within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"100"	"0"			
"COLLO_PIND"	"Percent of individuals within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COLLO_PTAX"	"Percent of distinct taxa within the rotifer order Collothecaceae (coarse and fine net samples combined)"		"100"	"0"			
"COLLO300_BIO"	"Biomass represented by individuals within the rotifer order Collothecaceae in the 300-count subsamples (coarse and fine net subsamples combined)"		"40"	"0"	"YES"		
"COLLO300_NTAX"	"Number of distinct taxa within the rotifer order Collothecaceae in the 300-count subsamples (coarse and fine net samples combined)"		"5"	"0"			
"COLLO300_PBIO"	"Percent of biomass represented by individuals within the rotifer order Collothecaceae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COLLO300_PIND"	"Percent of individuals within the rotifer order Collothecaceae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COLLO300_PTAX"	"Percent of distinct taxa within the rotifer order Collothecaceae in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COPE_BIO"	"Biomass represented by individuals within the subclass Copepoda (coarse and fine net samples combined)"		"2000"	"0"			
"COPE_DEN"	"Density (indiv./L) of individuals within the subclass Copepoda (coarse and fine net samples combined)"		"8000"	"0"	"YES"		
"COPE_HERB_BIO"	"Biomass represented by individuals within the subclass Copepoda that are herbivores"		"1500"	"0"			
"COPE_HERB_DEN"	"Density (indiv.L) of individuals within the subclass Copepoda that are herbivores (coarse and fine net samples combined)"		"800"	"0"			
"COPE_HERB_NTAX"	"Number of distinct copepod taxa that are herbivores (coarse and fine net samples combined)"		"10"	"0"			
"COPE_HERB_PBIO"	"Percent of biomass represented by individuals within the subclass Copepoda that are herbivores (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COPE_HERB_PDEN"	"Percent of density (indiv.L) of individuals within the subclass Copepoda that are herbivores (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COPE_HERB_PIND"	"Percent of individuals within the subclass Copepoda that are herbivores (coarse and fine net samples combined)"		"100"	"0"			
"COPE_HERB_PTAX"	"Percent of distinct taxa within the subclass Copepoda that are herbivores (coarse and fine net samples combined)"		"100"	"0"			
"COPE_HERB300_BIO"	"Biomass represented by individuals within the subclass Copepoda that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"1500"	"0"			
"COPE_HERB300_NTAX"	"Number of distinct copepod taxa that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"			
"COPE_HERB300_PBIO"	"Percent of biomass represented by individuals within the subclass Copepoda that are herbivores in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COPE_HERB300_PIND"	"Percent of individuals within the subclass Copepoda that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COPE_HERB300_PTAX"	"Percent of distinct taxa within the subclass Copepoda that are herbivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COPE_NAT_BIO"	"Biomass represented by native individuals within the subclass Copepoda (coarse and fine net samples combined)"		"1500"	"0"			
"COPE_NAT_DEN"	"Density (indiv./L) of native individuals within the subclass Copepoda (coarse and fine net samples combined)"		"8000"	"0"	"YES"		
"COPE_NAT_NTAX"	"Number of distinct native taxa within the subclass Copepoda (coarse and fine net samples combined)"		"10"	"0"	"YES"		
"COPE_NAT_PBIO"	"Percent of biomass represented by native individuals within the subclass Copepoda (coarse and fine net samples combined)"		"100"	"0"			
"COPE_NAT_PDEN"	"Percent of density (indiv./L) of native individuals within the subclass Copepoda (coarse and fine net samples combined)"		"100"	"0"			
"COPE_NAT_PIND"	"Percent of native individuals within the subclass Copepoda (coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COPE_NAT_PTAX"	"Percent of distinct native taxa within the subclass Copepoda (coarse and fine net samples combined) "		"100"	"0"	"YES"		
"COPE_NTAX"	"Number of distinct taxa within the subclass Copepoda (coarse and fine net samples combined)"		"10"	"0"	"YES"		
"COPE_OMNI_BIO"	"Biomass represented by individuals within the subclass Copepoda that are omnivores"		"1000"	"0"			
"COPE_OMNI_DEN"	"Density (indiv.L) of individuals within the subclass Copepoda that are omnivores (coarse and fine net samples combined)"		"150"	"0"			
"COPE_OMNI_NTAX"	"Number of distinct copepod taxa that are omnivores (coarse and fine net samples combined)"		"10"	"0"			
"COPE_OMNI_PBIO"	"Percent of biomass represented by individuals within the subclass Copepoda that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"COPE_OMNI_PDEN"	"Percent of density (indiv.L) of individuals within the subclass Copepoda that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"COPE_OMNI_PIND"	"Percent of individuals within the subclass Copepoda that are omnivores (coarse and fine net samples combined)"		"100"	"0"			
"COPE_OMNI_PTAX"	"Percent of distinct taxa within the subclass Copepoda that are omnivores (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COPE_OMNI300_BIO"	"Biomass represented by individuals within the subclass Copepoda that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"1000"	"0"	"YES"		
"COPE_OMNI300_NTAX"	"Number of distinct copepod taxa that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"10"	"0"			
"COPE_OMNI300_PBIO"	"Percent of biomass represented by individuals within the subclass Copepoda that are omnivores in the 300-coount subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COPE_OMNI300_PIND"	"Percent of individuals within the subclass Copepoda that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"			
"COPE_OMNI300_PTAX"	"Percent of distinct taxa within the subclass Copepoda that are omnivores in the 300-count subsamples (coarse and fine net samples combined)"		"100"	"0"	"YES"		
"COPE_PBIO"	"Percent of biomass represented by individuals within the subclass Copepoda (coarse and fine net samples combined)"		"100"	"0"			
"COPE_PDEN"	"Percent of density (indiv./L) of individuals within the subclass Copepoda (coarse and fine net samples combined)"		"100"	"0"			
"COPE_PIND"	"Percent of individuals within the subclass Copepoda (coarse and fine net samples combined) "		"100"	"0"	"YES"		
