"COLUMN_NAME"	"LABEL"	"LEGAL_VALUES"	"UNITS"	"SOURCE"
"NA2O"	"Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"NH4_2018"	"Annual gradient map of preciptiation-weighted mean deposition for ammonium ion concentration wet deposition for 2008 in kg of NH4/ha/yr, within watershed"		"kg of NH4/ha/yr"	"https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/"
"NO3_2018"	"Annual gradient map of preciptiation-weighted mean deposition for nitrate ion concentration wet deposition for 2008 in kg of NO3/ha/yr, within watershed"		"NO3/ha/yr"	"https://nadp.slh.wisc.edu/maps-data/ntn-gradient-maps/"
"NPDESDENS"	"Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within watershed (sites/square km)"		"sites/square km"	"https://www.epa.gov/frs/geospatial-data-download-service"
"OM"	"Mean organic matter content (% by weight) of soils (STATSGO) within watershed"		"%"	"LAKECAT"
"OMH"	"Hhigh value of organic matter content (percent by weight) of soils from State Soil Geographic (STATSGO) Database."			"LAKECAT and http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/geo/?cid=nrcs142p2_053630"
"P2O5"	"Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"PCTAG2006SLP10"	"% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes > 10%"		"%"	"LAKECAT"
"PCTAG2006SLP20"	"% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes > 20%"		"%"	"LAKECAT"
"PCTALKINTRUVOL"	"% of watershed area classified as as lithology type: alkaline intrusive volcanic rock"		"%"	"LAKECAT"
"PCTALLUVCOAST"	"% of watershed area classified as as lithology type: alluvium and fine-textured coastal zone sediment"		"%"	"LAKECAT"
"PCTBL2006"	"% of watershed area classified as barren land cover (NLCD 2006 class 31)"		"%"	"https://www.mrlc.gov/data"
"PCTBL2019"	"% of watershed area classified as barren land cover (NLCD 2019 class 31)"		"%"	"https://www.mrlc.gov/data"
"PCTBL2021"	"% of watershed area classified as barren land cover (NLCD 2021 class 31)"		"%"	"https://www.mrlc.gov/data"
"PCTCARBRESID"	"% of watershed area classified as as lithology type: carbonate residual material"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTCOASTCRS"	"% of watershed area classified as as lithology type: coastal zone sediment, coarse-textured"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTCOLLUVSED"	"% of watershed area classified as as lithology type: colluvial sediment"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTCONIF2006"	"% of watershed area classified as evergreen forest land cover (NLCD 2006 class 42)"		"%"	"https://www.mrlc.gov/data"
"PCTCONIF2019"	"% of watershed area classified as evergreen forest land cover (NLCD 2019 class 42)"		"%"	"https://www.mrlc.gov/data"
"PCTCONIF2021"	"% of watershed area classified as evergreen forest land cover (NLCD 2021 class 42)"		"%"	"https://www.mrlc.gov/data"
"PCTCROP2006"	"% of watershed area classified as crop land use (NLCD 2006 class 82)"		"%"	"https://www.mrlc.gov/data"
"PCTCROP2019"	"% of watershed area classified as crop land use (NLCD 2019 class 82)"		"%"	"https://www.mrlc.gov/data"
"PCTCROP2021"	"% of watershed area classified as crop land use (NLCD 2021 class 82)"		"%"	"https://www.mrlc.gov/data"
"PCTDECID2006"	"% of watershed area classified as deciduous forest land cover (NLCD 2006 class 41)"		"%"	"https://www.mrlc.gov/data"
"PCTDECID2019"	"% of watershed area classified as deciduous forest land cover (NLCD 2019 class 41)"		"%"	"https://www.mrlc.gov/data"
"PCTDECID2021"	"% of watershed area classified as deciduous forest land cover (NLCD 2021 class 41)"		"%"	"https://www.mrlc.gov/data"
"PCTEOLCRS"	"% of watershed area classified as as lithology type: eolian sediment, coarse-textured (sand dunes)"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTEOLFINE"	"% of watershed area classified as as lithology type: eolian sediment, fine-textured (glacial loess)"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTEXTRUVOL"	"% of watershed area classified as as lithology type: extrusive volcanic rock"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTFIRE2000"	"% Forest loss to fire (fire perimeter) for 2000 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2001"	"% Forest loss to fire (fire perimeter) for 2001 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2002"	"% Forest loss to fire (fire perimeter) for 2002 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2003"	"% Forest loss to fire (fire perimeter) for 2003 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2004"	"% Forest loss to fire (fire perimeter) for 2004 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2005"	"% Forest loss to fire (fire perimeter) for 2005 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2006"	"% Forest loss to fire (fire perimeter) for 2006 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2007"	"% Forest loss to fire (fire perimeter) for 2007 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2008"	"% Forest loss to fire (fire perimeter) for 2008 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2009"	"% Forest loss to fire (fire perimeter) for 2009 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFIRE2010"	"% Forest loss to fire (fire perimeter) for 2010 within watershed"		"%"	"https://data-nifc.opendata.arcgis.com/"
"PCTFRSTLOSS2001"	"% Forest cover loss (Tree canopy cover change) for 2001 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2002"	"% Forest cover loss (Tree canopy cover change) for 2002 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2003"	"% Forest cover loss (Tree canopy cover change) for 2003 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2004"	"% Forest cover loss (Tree canopy cover change) for 2004 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2005"	"% Forest cover loss (Tree canopy cover change) for 2005 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2006"	"% Forest cover loss (Tree canopy cover change) for 2006 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2007"	"% Forest cover loss (Tree canopy cover change) for 2007 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2008"	"% Forest cover loss (Tree canopy cover change) for 2008 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2009"	"% Forest cover loss (Tree canopy cover change) for 2009 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2010"	"% Forest cover loss (Tree canopy cover change) for 2010 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2011"	"% Forest cover loss (Tree canopy cover change) for 2011 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2012"	"% Forest cover loss (Tree canopy cover change) for 2012 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTFRSTLOSS2013"	"% Forest cover loss (Tree canopy cover change) for 2013 within watershed"		"%"	"http://earthenginepartners.appspot.com/science-2013-global-forest/download_v1.1.html"
"PCTGLACLAKECRS"	"% of watershed area classified as as lithology type: glacial outwash and glacial lake sediment, coarse-textured"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTGLACLAKEFINE"	"% of watershed area classified as as lithology type: glacial lake sediment, fine-textured"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTGLACTILCLAY"	"% of watershed area classified as as lithology type: glacial till, clayey"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTGLACTILCRS"	"% of watershed area classified as as lithology type: glacial till, coarse-textured"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTGLACTILLOAM"	"% of watershed area classified as as lithology type: glacial till, loamy"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTGRS2006"	"% of watershed area classified as grassland/herbaceous land cover (NLCD 2006 class 71)"		"%"	"https://www.mrlc.gov/data"
"PCTGRS2019"	"% of watershed area classified as grassland/herbaceous land cover (NLCD 2019 class 71)"		"%"	"https://www.mrlc.gov/data"
"PCTGRS2021"	"% of watershed area classified as grassland/herbaceous land cover (NLCD 2021 class 71)"		"%"	"https://www.mrlc.gov/data"
"PCTHAY2006"	"% of watershed area classified as hay land use (NLCD 2006 class 81)"		"%"	"https://www.mrlc.gov/data"
"PCTHAY2019"	"% of watershed area classified as hay land use (NLCD 2019 class 81)"		"%"	"https://www.mrlc.gov/data"
"PCTHAY2021"	"% of watershed area classified as hay land use (NLCD 2021 class 81)"		"%"	"https://www.mrlc.gov/data"
"PCTHBWET2006"	"% of watershed area classified as herbaceous wetland land cover (NLCD 2006 class 95)"		"%"	"https://www.mrlc.gov/data"
"PCTHBWET2019"	"% of watershed area classified as herbaceous wetland land cover (NLCD 2019 class 95)"		"%"	"https://www.mrlc.gov/data"
"PCTHBWET2021"	"% of watershed area classified as herbaceous wetland land cover (NLCD 2021 class 95)"		"%"	"https://www.mrlc.gov/data"
"PCTHYDRIC"	"% of watershed area classified as as lithology type: hydric, peat and muck"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTICE2006"	"% of watershed area classified as ice/snow land cover (NLCD 2006 class 12)"		"%"	"https://www.mrlc.gov/data"
"PCTICE2019"	"% of watershed area classified as ice/snow land cover (NLCD 2019 class 12)"		"%"	"https://www.mrlc.gov/data"
"PCTICE2021"	"% of watershed area classified as ice/snow land cover (NLCD 2021 class 12)"		"%"	"https://www.mrlc.gov/data"
"PCTIMP2006"	"Mean imperviousness of anthropogenic surfaces within watershed (NLCD 2006)"		"%"	"https://www.mrlc.gov/data"
"PCTIMP2019"	"Mean imperviousness of anthropogenic surfaces within watershed (NLCD 2019)"		"%"	"https://www.mrlc.gov/data"
"PCTIMP2021"	"Mean imperviousness of anthropogenic surfaces within watershed (NLCD 2021)"		"%"	"https://www.mrlc.gov/data"
"PCTMXFST2006"	"% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2006 class 43)"		"%"	"https://www.mrlc.gov/data"
"PCTMXFST2019"	"% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2019 class 43)"		"%"	"https://www.mrlc.gov/data"
"PCTMXFST2021"	"% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2021 class 43)"		"%"	"https://www.mrlc.gov/data"
"PCTNOFRSTLOSS"	"% No forest loss across 2001-2013"		"%"	"https://www.mrlc.gov/data"
"PCTNONCARBRESID"	"% of watershed area classified as as lithology type: non-carbonate residual material"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTOW2006"	"% of watershed area classified as open water land cover (NLCD 2006 class 11)"		"%"	"https://www.mrlc.gov/data"
"PCTOW2019"	"% of watershed area classified as open water land cover (NLCD 2019 class 11)"		"%"	"https://www.mrlc.gov/data"
"PCTOW2021"	"% of watershed area classified as open water land cover (NLCD 2021 class 11)"		"%"	"https://www.mrlc.gov/data"
"PCTRECREATIONAL"	"USGS Protected Areas Database pre-determined 'recreational' land use classes and calculate percent occuring in watershed"		"%"	"https://gapanalysis.usgs.gov/padus/"
"PCTSALLAKE"	"% of watershed area classified as as lithology type: saline like sediment"		"%"	"https://www.mrlc.gov/data"
"PCTSHRB2006"	"% of watershed area classified as shrub/scrub land cover (NLCD 2006 class 52)"		"%"	"https://www.mrlc.gov/data"
"PCTSHRB2019"	"% of watershed area classified as shrub/scrub land cover (NLCD 2019 class 52)"		"%"	"https://www.mrlc.gov/data"
"PCTSHRB2021"	"% of watershed area classified as shrub/scrub land cover (NLCD 2021 class 52)"		"%"	"https://www.mrlc.gov/data"
"PCTSILICIC"	"% of watershed area classified as as lithology type: silicic residual material"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTURBHI2006"	"% of watershed area classified as developed, high-intensity land use (NLCD 2006 class 24)"		"%"	"https://www.mrlc.gov/data"
"PCTURBHI2019"	"% of watershed area classified as developed, high-intensity land use (NLCD 2019 class 24)"		"%"	"https://www.mrlc.gov/data"
"PCTURBHI2021"	"% of watershed area classified as developed, high-intensity land use (NLCD 2021 class 24)"		"%"	"https://www.mrlc.gov/data"
"PCTURBLO2006"	"% of watershed area classified as developed, low-intensity land use (NLCD 2006 class 22)"		"%"	"https://www.mrlc.gov/data"
"PCTURBLO2019"	"% of watershed area classified as developed, low-intensity land use (NLCD 2019 class 22)"		"%"	"https://www.mrlc.gov/data"
"PCTURBLO2021"	"% of watershed area classified as developed, low-intensity land use (NLCD 2021 class 22)"		"%"	"https://www.mrlc.gov/data"
"PCTURBMD2006"	"% of watershed area classified as developed, medium-intensity land use (NLCD 2006 class 23)"		"%"	"https://www.mrlc.gov/data"
"PCTURBMD2019"	"% of watershed area classified as developed, medium-intensity land use (NLCD 2019 class 23)"		"%"	"https://www.mrlc.gov/data"
"PCTURBMD2021"	"% of watershed area classified as developed, medium-intensity land use (NLCD 2021 class 23)"		"%"	"https://www.mrlc.gov/data"
"PCTURBOP2006"	"% of watershed area classified as developed, open space land use (NLCD 2006 class 21)"		"%"	"https://www.mrlc.gov/data"
"PCTURBOP2019"	"% of watershed area classified as developed, open space land use (NLCD 2019 class 21)"		"%"	"https://www.mrlc.gov/data"
"PCTURBOP2021"	"% of watershed area classified as developed, open space land use (NLCD 2021 class 21)"		"%"	"https://www.mrlc.gov/data"
"PCTWATER"	"% of watershed area classified as as lithology type: water"		"%"	"https://rmgsc.cr.usgs.gov/outgoing/ecosystems/USdata/"
"PCTWDWET2006"	"% of watershed area classified as woody wetland land cover (NLCD 2006 class 90)"		"%"	"https://www.mrlc.gov/data"
"PCTWDWET2019"	"% of watershed area classified as woody wetland land cover (NLCD 2019 class 90)"		"%"	"https://www.mrlc.gov/data"
"PCTWDWET2021"	"% of watershed area classified as woody wetland land cover (NLCD 2021 class 90)"		"%"	"https://www.mrlc.gov/data"
"PERDUN"	"Dunne overland flow, also know as saturation overland flow, is generated in a basin when the water table \outcrops\\" on the land surface (due to the infiltration and redistribution of soil moisture within the basin), thereby producing temporary saturated areas. These saturated areas generate Dunne overland flow through exfiltration of shallow ground water and by routing precipitation directly to the stream network. The data are estimated from a watershed simulation model called TOPMODEL (Wolock, 1993). The model was run  throughout the conterminous U.S. and estimated percentage of Dunne overland flow in total streamflow was quantified (Wolock, 2003).\""			"http://water.usgs.gov/lookup/getspatial?satof48"
"PERHOR"	"Horton overland flow, also known as infiltration-excess overland flow, is generated in a basin when infiltration rates are exceeded by precipitation rates. The data are estimated from a watershed simulation model called TOPMODEL (Wolock, 1993). The model was run  throughout the conterminous U.S. and estimated percentage of Horton overland flow in total streamflow was quantified (Wolock, 2003)."			"http://water.usgs.gov/GIS/metadata/usgswrd/XML/ieof48.xml"
"PERM"	"Mean permeability (cm/hour) of soils (STATSGO) within watershed"		"cm/hour"	"LAKECAT"
"PERMH"	"High value of permeability (inches/hour) of soils from the State Soil Geographic (STATSGO) Database"			"USU and PRISM"
"PESTIC97"	"Mean pesticide use (kg/km2) in yr. 1997 within watershed"		"kg/km2"	"http://water.usgs.gov/GIS/metadata/usgswrd/XML/agpest97grd.xml"
"POPDEN2010"	"Mean populating density (people/square km) within watershed"		"people/square km"	"https://www.census.gov/programs-surveys/popest/data/data-sets.html"
"PRECIP9120"	"PRISM climate data - 30-year normal mean precipitation (mm): Annual period: 1991-2020 within the watershed"		"mm"	"http://www.prism.oregonstate.edu"
"PSDPY"	"Standard deviation of total monthly precip  for 12 months prior to sampling (12 months)"		"mm"	"http://www.prism.oregonstate.edu"
"PSDPY_PT"	"Standard deviation of total monthly precip  for 12 months prior to sampling (12 months)"		"mm"	"http://www.prism.oregonstate.edu"
"PSTL_CODE"	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."			
"PSUM6M"	"total average precipitation for 6 months prior to sampling (6 months)"		"mm"	"http://www.prism.oregonstate.edu"
"PSUM6M_PT"	"total average precipitation for 6 months prior to sampling (6 months)"		"mm"	"http://www.prism.oregonstate.edu"
"PSUMPY"	"total average precip for 12 months prior to sampling (12 months)"		"mm"	"http://www.prism.oregonstate.edu"
"PSUMPY_PT"	"total average precip for 12 months prior to sampling (12 months)"		"mm"	"http://www.prism.oregonstate.edu"
"PUBLICATION_DATE"	"Date the dataset was published to the NARS site"			
"RCKDEP"	"Mean depth (cm) to bedrock of soils (STATSGO) within watershed"		"cm"	"LAKECAT"
"RDCRS"	"Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) within watershed (crossings/square km)"		"crossings/square km"	"LAKECAT"
"RDDENS"	"Density of roads (2010 Census Tiger Lines) within watershed (km/square km)"		"km/square km"	"LAKECAT"
"RHMEAN"	"GIS raster calculated as  (SUMxi / 12) / 30, where xi = the modeled mean relative humidity (%) for month i (1-12).  Values based on 30 years (1961-1990) of PRISM climate estimates.  Each value represents a 2 x 2 kilometer cell "		"%"	"http://www.prism.oregonstate.edu"
"RUNOFF"	"Mean runoff (mm) within watershed"		"mm"	"LAKECAT"
"S"	"Mean % of lithological sulfur (S) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"SAND"	"Mean % sand content of soils (STATSGO) within watershed"		"%"	"LAKECAT"
"SIO2"	"Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within watershed"		"Mean %"	"https://www.sciencebase.gov/catalog/folder/53481333e4b06f6ce034aae7"
"SITE_ID"	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."			
"SN_2018"	"Annual gradient map of preciptiation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2018 in kg of S+N/ha/yr, within watershed"		"kg of S+N/ha/yr"	"LAKECAT"
"SUPERFUNDDENS"	"Density of Superfund sites within watershed (sites/square km)"		"sites/square km"	"LAKECAT"
"TMAX9120"	"PRISM climate data - 30-year normal maximum temperature (C): Annual period: 1991-2020 within the watershed"		"deg C"	"LAKECAT"
"TMEAN9120"	"PRISM climate data - 30-year normal mean temperature (C): Annual period: 1991-2020 within the watershed"		"deg C"	"LAKECAT"
"TMEANPW"	"monthly mean air temperature of prior winter"		"deg C"	"NLA2012"
"TMEANPW_PT"	"monthly mean air temperature of prior winter"		"deg C"	"NLA2012"
"TMEANPY"	"mean temperature for year prior to sampling (12 months)"		"deg C"	"NLA2012"
"TMEANPY_PT"	"mean temperature for year prior to sampling (12 months)"		"deg C"	"NLA2012"
"TMIN9120"	"PRISM climate data - 30-year normal minimum temperature (C): Annual period: 1991-2020 within the watershed"		"deg C"	"LAKECAT"
"WETINDEX"	"Mean Composite Topographic Index (CTI)[Wetness Index] within watershed"		"Index value"	"LAKECAT"
"WSAREASQKM"	"Watershed area in sq. km"		"km2"	"NLA2012"
"WTDEP"	"Mean seasonal water table depth (cm) of soils (STATSGO) within watershed"		"cm"	"LAKECAT"
"WTDPH"	"Mean of the high values of seasonal water table depth (feet) of soils from the State Soil Geographic (STATSGO) Database"		"cm"	"LAKECAT and http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/geo/?cid=nrcs142p2_053629"
"UNIQUE_ID"	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \"blank\" values allowed."			
