COLUMN_NAME	LABEL	LEGAL_VALUES
PANEL_USE	"NLA Panel Assignment.  Text that has form NLAnn_mmXXXn_YYYY  where nn is current cycle year (07, 12, 17, etc), mm is cycle year lake was first selected for sampling, XXXn denotes revisit status, and YYYY denotes base or over sample status.  XXXn equals either RVT2 (if site should be visited twice in current cycle year) or RVT (if site should be visited once in current cycle and was previously visited in a prior cycle year) and is blank otherwise.  YYYY  is either blank (if the lake site is a base site) or equals OverSamp (if the lake site is an over sample site).  Note: For state specific designs, state two letter code is added.  If HAND-picked site, assign as \HAND\""."""	
PERIM_KM	NHD lake polygon perimeter (kilometers). No missing values allowed	
PERM_ID	40-char  value that uniquely identifies the occurrence of each feature in The National Map. National Database primary key.	
PROB_CAT	NLA unequal probability categories used within a stratum. Missing values valid for Hand-picked sites as they are not a site from probability design.	
PSTL_CODE	"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands.  No missing values allowed."	
REACHCODE	NHD Reach code assigned	
SITE_ID	"The NLA Site ID  for the study and year sampled.  Preferred form is NLAnn_MM-xxxxx  where  nn is current cycle year (07, 12, 17, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing values allowed."	
SOURCE	"Sample frame source (e.g. NHDPlus, NHD High Res or state sample frames)"	NLA2012Frame Only|NHD High Res Lake Snapshot Only|MN High Res Lake Frame|NLA2017 Hand Picked Not in NLA Frame|NLA2012Frame and NH High Res Lake Frame|NHD High Res Lake Snapshot and NH High Res Lake Frame|
STATE_PCT	Percent of lake area occurring in STATE. 50 to 100 since lake assigned to state if >= 50%	50 to 100|
STATECTY	FIPS state and county code.  No missing values allowed	
STATES	Two-letter codes of all states a lake intersects separated by colons	
STRATUM	Strata used in the NLA survey design	
STUDY	"Name of the study.  A unique lake may belong to multiple studies. Text. For NLA all studies are \NLA\"" but have different DSGN_CYCLE"""	NLA|
TNT_CAT	NLA target status assigned based on lake evaluation for use in national assessments	Target|Non_Target|None
UNIQUE_ID	"Unique site ID based on location that does not depend on year sampled or any other factor.  Form is NLA_ss_nnnnn  where ss state and nnnnn is number that starts at 10001.   No missing or \blank\"" values allowed."""	
URBN_NLA07	Lake identified as an urban lake using 2007 definition of Urban. No missing or blank values allowed	Urban|Non-Urban|
URBN_NLA17	Lake identified as an urban lake using 2017 definition of Urban. No missing or blank values allowed	Urban|Non-Urban|
URBN_NLA22	"Lake identified as an urban lake using 2022 definition of Urban (HUC12 intersecting Census UAC from 2019).  No missing or \blank\"" values allowed."""	Urban | Non-Urban |
US_L3CODE	Omernik Level III ecoregion code. No missing values allowed.	
US_L3NAME	Omernik Level III ecoregion name. No missing values allowed.	
US_L4CODE	Omernik Level IV ecoregion code. Level III code plus aphabetic ending identifying Level IV subregion. No missing values allowed.	
US_L4NAME	Omernik Level IV ecoregion name. No missing values allowed.	
WGT_CAT_NR	NLA categories used to adjust weights for each lake when both sampled and non-sampled (non-response) lakes are included.	
WGT_DSGN	NLA initial lake weight assigned during site selection. DO NOT USE FOR POPULATION ESTIMATION!	
XCOORD	x-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii or Alaska lakes which are calculated from Hawaii or Alaska Albers Equal Area Conic projectionNo missing values allowed.	
YCOORD	y-coordinate from US Contiguous Albers Equal Area Conic projection EXCEPT Hawaii or Alaska lakes which are calculated from Hawaii or Alaska Albers Equal Area Conic projection. No missing values allowed.	
SITESAMP	Did you sample this site (Y/N)	Y|N
INDEX_LAT_DD	Lattitude in decimal degrees at index site	
INDEX_LON_DD	Longitude in decimal degrees at index site	
DATE_COL	Date of sample collection	
VISIT_NO	Sequential number of visit to site	|1|2
PUBLICATION_DATE	Date the dataset was published to the NARS site	
UID	Unique identifier for the site/visit	
WGT_TP_NES	"NES adj. weight for estimates for Target Population. Includes weight adjustments to account for sites with unknown status and when lake status is known to be target but not sampled. Note: >0, or 0 if site not to be used for target population estimation"	
WGT_CAT_NES	NES categories used to adjust weights for each lake.	
WGT_TP_EXT_NLA	"NLA weight for estimates for extent of resource for target population. Applies to all evaluated sites. Note: >0, or 0 if site not to be used for population estimation"	
WGT_TP_CORE_NLA	"NLA weight for estimates for target population based on sampled sites. Includes adjustments for sites with unknown status and when lake status is known to be target but not sampled. Note: >0, or 0 if site not used for target population estimation"	
WGT_CAT_NR_NLA	NLA categories used to adjust weights for each lake when both sampled and non-sampled (non-response) lakes are included.	
