"SAMPLE_TYPE"	"COLUMN_NAME"	"APP_FIELD_NAME"	"APP_FORM_NAME"	"APP_LEGAL_VALUES"	"APP_MAP_FUNCTION"	"DESCRIPTION"	"EXPANSION_ELEMENTS"	"FIELD_EXPANSION_FUNCTION"	"FIELD_KEYS"	"FLAG_VALUE"	"KEY_EXPANSION_FUNCTION"	"LEGAL_TABLE_VALUES"	"PAPER_FIELD_NAME"	"PAPER_FORM_NAME"	"PAPER_LEGAL_VALUES"	"PAPER_MAP_FUNCTION"	"RANGE_HIGH"	"RANGE_LOW"	"SOURCE"	"UNITS"	"VAR_TYPE"	"LABEL"
"LAND"	"FE2O3"					"Mean % of lithological ferric oxide (Fe2O3) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"FERT"					"Mean rate of synthetic nitrogen fertilizer application to agricultural land in kg N/ha/yr, within watershed"													"LAKECAT"	"kg N/ha/yr"		
"LAND"	"HUDEN2010"					"Mean housing unit density (housing units/square km) within watershed"													"LAKECAT"	"housing units/square km"		
"LAND"	"HYDRLCOND"					"Mean lithological hydraulic conductivity (micrometers per second) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"INORGNWETDEP_2008"					"Annual gradient map of preciptiation-weighted mean deposition for inorganic nitrogen wet deposition from nitrate and ammonium for 2008 in kg of N/ha/yr, within watershed"													"LAKECAT"	"kg of N/ha/yr"		
"LAND"	"K2O"					"Mean % of lithological potassium oxide (K2O) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"KFFACT"					"Mean of STATSGO Kffactor raster within watershed. The Universal Soil Loss Equation (USLE) and represents a relative index of susceptibility of bare, cultivated soil to particle detachment and transport by rainfall"													"LAKECAT"	"Index value"		
"LAND"	"MANURE"					"Mean rate of manure application to agricultural land from confined animal feeding operations in kg N/ha/yr, within watershed"													"LAKECAT"	"kg N/ha/yr"		
"LAND"	"MERCDEP"					"Average Mercury Deposition in Basin (micrograms/sq meter) for 2011"													"NLA2012"	"micrograms/sq meter"		
"LAND"	"MGO"					"Mean % of lithological magnesium oxide (MgO) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"MINEDENS"					"Density of mines sites within watershed (mines/square km)"													"LAKECAT"	"mines/square km"		
"LAND"	"N"					"Mean % of lithological nitrogen (N) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"NA2O"					"Mean % of lithological sodium oxide (Na2O) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"NABD_DENS"					"Density of georeferenced dams within watershed (dams/ square km)"													"LAKECAT"	"dams/ square km"		
"LAND"	"NABD_NIDSTOR"					"Volume all reservoirs (NID_STORA in NID) per unit area of watershed (cubic meters/square km)"													"LAKECAT"	"cubic meters/square km"		
"LAND"	"NABD_NRMSTOR"					"Volume all reservoirs (NORM_STORA in NID) per unit area of watershed (cubic meters/square km)"													"LAKECAT"	"cubic meters/square km"		
"LAND"	"NH4_2008"					"Annual gradient map of preciptiation-weighted mean deposition for ammonium ion concentration wet deposition for 2008 in kg of NH4/ha/yr, within watershed"													"LAKECAT"	"kg of NH4/ha/yr"		
"LAND"	"NO3_2008"					"Annual gradient map of preciptiation-weighted mean deposition for nitrate ion concentration wet deposition for 2008 in kg of NO3/ha/yr, within watershed"													"LAKECAT"	"NO3/ha/yr"		
"LAND"	"NPDESDENS"					"Density of permitted NPDES (National Pollutant Discharge Elimination System) sites within watershed (sites/square km)"													"LAKECAT"	"sites/square km"		
"LAND"	"OM"					"Mean organic matter content (% by weight) of soils (STATSGO) within watershed"													"LAKECAT"	"%"		
"LAND"	"P2O5"					"Mean % of lithological phosphorous oxide (P2O5) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"PCTAG2006SLP10"					"% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes > 10%"													"LAKECAT"	"%"		
"LAND"	"PCTAG2006SLP20"					"% of watershed area classified as ag land cover (NLCD 2006 classes 81-82) occurring on slopes > 20%"													"LAKECAT"	"%"		
"LAND"	"PCTALKINTRUVOL"					"% of watershed area classified as as lithology type: alkaline intrusive volcanic rock"													"LAKECAT"	"%"		
"LAND"	"PCTALLUVCOAST"					"% of watershed area classified as as lithology type: alluvium and fine-textured coastal zone sediment"													"LAKECAT"	"%"		
"LAND"	"PCTBL2006"					"% of watershed area classified as barren land cover (NLCD 2006 class 31)"													"LAKECAT"	"%"		
"LAND"	"PCTBL2011"					"% of watershed area classified as barren land cover (NLCD 2011 class 31)"													"LAKECAT"	"%"		
"LAND"	"PCTCARBRESID"					"% of watershed area classified as as lithology type: carbonate residual material"													"LAKECAT"	"%"		
"LAND"	"PCTCOASTCRS"					"% of watershed area classified as as lithology type: coastal zone sediment, coarse-textured"													"LAKECAT"	"%"		
"LAND"	"PCTCOLLUVSED"					"% of watershed area classified as as lithology type: colluvial sediment"													"LAKECAT"	"%"		
"LAND"	"PCTCONIF2006"					"% of watershed area classified as evergreen forest land cover (NLCD 2006 class 42)"													"LAKECAT"	"%"		
"LAND"	"PCTCONIF2011"					"% of watershed area classified as evergreen forest land cover (NLCD 2011 class 42)"													"LAKECAT"	"%"		
"LAND"	"PCTCROP2006"					"% of watershed area classified as crop land use (NLCD 2006 class 82)"													"LAKECAT"	"%"		
"LAND"	"PCTCROP2011"					"% of watershed area classified as crop land use (NLCD 2011 class 82)"													"LAKECAT"	"%"		
"LAND"	"PCTDECID2006"					"% of watershed area classified as deciduous forest land cover (NLCD 2006 class 41)"													"LAKECAT"	"%"		
"LAND"	"PCTDECID2011"					"% of watershed area classified as deciduous forest land cover (NLCD 2011 class 41)"													"LAKECAT"	"%"		
"LAND"	"PCTEOLCRS"					"% of watershed area classified as as lithology type: eolian sediment, coarse-textured (sand dunes)"													"LAKECAT"	"%"		
"LAND"	"PCTEOLFINE"					"% of watershed area classified as as lithology type: eolian sediment, fine-textured (glacial loess)"													"LAKECAT"	"%"		
"LAND"	"PCTEXTRUVOL"					"% of watershed area classified as as lithology type: extrusive volcanic rock"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2000"					"% Forest loss to fire (fire perimeter) for 2000 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2001"					"% Forest loss to fire (fire perimeter) for 2001 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2002"					"% Forest loss to fire (fire perimeter) for 2002 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2003"					"% Forest loss to fire (fire perimeter) for 2003 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2004"					"% Forest loss to fire (fire perimeter) for 2004 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2005"					"% Forest loss to fire (fire perimeter) for 2005 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2006"					"% Forest loss to fire (fire perimeter) for 2006 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2007"					"% Forest loss to fire (fire perimeter) for 2007 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2008"					"% Forest loss to fire (fire perimeter) for 2008 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2009"					"% Forest loss to fire (fire perimeter) for 2009 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFIRE2010"					"% Forest loss to fire (fire perimeter) for 2010 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2001"					"% Forest cover loss (Tree canopy cover change) for 2001 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2002"					"% Forest cover loss (Tree canopy cover change) for 2002 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2003"					"% Forest cover loss (Tree canopy cover change) for 2003 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2004"					"% Forest cover loss (Tree canopy cover change) for 2004 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2005"					"% Forest cover loss (Tree canopy cover change) for 2005 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2006"					"% Forest cover loss (Tree canopy cover change) for 2006 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2007"					"% Forest cover loss (Tree canopy cover change) for 2007 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2008"					"% Forest cover loss (Tree canopy cover change) for 2008 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2009"					"% Forest cover loss (Tree canopy cover change) for 2009 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2010"					"% Forest cover loss (Tree canopy cover change) for 2010 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2011"					"% Forest cover loss (Tree canopy cover change) for 2011 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2012"					"% Forest cover loss (Tree canopy cover change) for 2012 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTFRSTLOSS2013"					"% Forest cover loss (Tree canopy cover change) for 2013 within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTGLACLAKECRS"					"% of watershed area classified as as lithology type: glacial outwash and glacial lake sediment, coarse-textured"													"LAKECAT"	"%"		
"LAND"	"PCTGLACLAKEFINE"					"% of watershed area classified as as lithology type: glacial lake sediment, fine-textured"													"LAKECAT"	"%"		
"LAND"	"PCTGLACTILCLAY"					"% of watershed area classified as as lithology type: glacial till, clayey"													"LAKECAT"	"%"		
"LAND"	"PCTGLACTILCRS"					"% of watershed area classified as as lithology type: glacial till, coarse-textured"													"LAKECAT"	"%"		
"LAND"	"PCTGLACTILLOAM"					"% of watershed area classified as as lithology type: glacial till, loamy"													"LAKECAT"	"%"		
"LAND"	"PCTGRS2006"					"% of watershed area classified as grassland/herbaceous land cover (NLCD 2006 class 71)"													"LAKECAT"	"%"		
"LAND"	"PCTGRS2011"					"% of watershed area classified as grassland/herbaceous land cover (NLCD 2011 class 71)"													"LAKECAT"	"%"		
"LAND"	"PCTHAY2006"					"% of watershed area classified as hay land use (NLCD 2006 class 81)"													"LAKECAT"	"%"		
"LAND"	"PCTHAY2011"					"% of watershed area classified as hay land use (NLCD 2011 class 81)"													"LAKECAT"	"%"		
"LAND"	"PCTHBWET2006"					"% of watershed area classified as herbaceous wetland land cover (NLCD 2006 class 95)"													"LAKECAT"	"%"		
"LAND"	"PCTHBWET2011"					"% of watershed area classified as herbaceous wetland land cover (NLCD 2011 class 95)"													"LAKECAT"	"%"		
"LAND"	"PCTHYDRIC"					"% of watershed area classified as as lithology type: hydric, peat and muck"													"LAKECAT"	"%"		
"LAND"	"PCTICE2006"					"% of watershed area classified as ice/snow land cover (NLCD 2006 class 12)"													"LAKECAT"	"%"		
"LAND"	"PCTICE2011"					"% of watershed area classified as ice/snow land cover (NLCD 2011 class 12)"													"LAKECAT"	"%"		
"LAND"	"PCTIMP2006"					"Mean imperviousness of anthropogenic surfaces within watershed (NLCD 2006)"													"LAKECAT"	"%"		
"LAND"	"PCTIMP2011"					"Mean imperviousness of anthropogenic surfaces within watershed (NLCD 2011)"													"LAKECAT"	"%"		
"LAND"	"PCTMXFST2006"					"% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2006 class 43)"													"LAKECAT"	"%"		
"LAND"	"PCTMXFST2011"					"% of watershed area classified as mixed deciduous/evergreen forest land cover (NLCD 2011 class 43)"													"LAKECAT"	"%"		
"LAND"	"PCTNONAGINTRODMANAGVEG"					"% Nonagriculture nonnative introduced or managed vegetation landcover type reclassed from LANDFIRE Existing Vegetation Type (EVT), within watershed"													"LAKECAT"	"%"		
"LAND"	"PCTNONCARBRESID"					"% of watershed area classified as as lithology type: non-carbonate residual material"													"LAKECAT"	"%"		
"LAND"	"PCTOW2006"					"% of watershed area classified as open water land cover (NLCD 2006 class 11)"													"LAKECAT"	"%"		
"LAND"	"PCTOW2011"					"% of watershed area classified as open water land cover (NLCD 2011 class 11)"													"LAKECAT"	"%"		
"LAND"	"PCTSALLAKE"					"% of watershed area classified as as lithology type: saline like sediment"													"LAKECAT"	"%"		
"LAND"	"PCTSHRB2006"					"% of watershed area classified as shrub/scrub land cover (NLCD 2006 class 52)"													"LAKECAT"	"%"		
"LAND"	"PCTSHRB2011"					"% of watershed area classified as shrub/scrub land cover (NLCD 2011 class 52)"													"LAKECAT"	"%"		
"LAND"	"PCTSILICIC"					"% of watershed area classified as as lithology type: silicic residual material"													"LAKECAT"	"%"		
"LAND"	"PCTURBHI2006"					"% of watershed area classified as developed, high-intensity land use (NLCD 2006 class 24)"													"LAKECAT"	"%"		
"LAND"	"PCTURBHI2011"					"% of watershed area classified as developed, high-intensity land use (NLCD 2011 class 24)"													"LAKECAT"	"%"		
"LAND"	"PCTURBLO2006"					"% of watershed area classified as developed, low-intensity land use (NLCD 2006 class 22)"													"LAKECAT"	"%"		
"LAND"	"PCTURBLO2011"					"% of watershed area classified as developed, low-intensity land use (NLCD 2011 class 22)"													"LAKECAT"	"%"		
"LAND"	"PCTURBMD2006"					"% of watershed area classified as developed, medium-intensity land use (NLCD 2006 class 23)"													"LAKECAT"	"%"		
"LAND"	"PCTURBMD2011"					"% of watershed area classified as developed, medium-intensity land use (NLCD 2011 class 23)"													"LAKECAT"	"%"		
"LAND"	"PCTURBOP2006"					"% of watershed area classified as developed, open space land use (NLCD 2006 class 21)"													"LAKECAT"	"%"		
"LAND"	"PCTURBOP2011"					"% of watershed area classified as developed, open space land use (NLCD 2011 class 21)"													"LAKECAT"	"%"		
"LAND"	"PCTWATER"					"% of watershed area classified as as lithology type: water"													"LAKECAT"	"%"		
"LAND"	"PCTWDWET2006"					"% of watershed area classified as woody wetland land cover (NLCD 2006 class 90)"													"LAKECAT"	"%"		
"LAND"	"PCTWDWET2011"					"% of watershed area classified as woody wetland land cover (NLCD 2011 class 90)"													"LAKECAT"	"%"		
"LAND"	"PCVPY"					"CV of total monthly precip (12 months)"													"NLA2012"	"mm"		
"LAND"	"PCVPY_PT"					"CV of total monthly precip (12 months)"													"NLA2012"	"mm"		
"LAND"	"PERM"					"Mean permeability (cm/hour) of soils (STATSGO) within watershed"													"LAKECAT"	"cm/hour"		
"LAND"	"PESTIC97"					"Mean pesticide use (kg/km2) in yr. 1997 within watershed"													"LAKECAT"	"kg/km2"		
"LAND"	"PIP"					"total average precipitation during index period (5 months)"													"NLA2012"	"mm"		
"LAND"	"PIP_PT"					"total average precipitation during index period (5 months)"													"NLA2012"	"mm"		
"LAND"	"POPDEN2010"					"Mean populating density (people/square km) within watershed"													"LAKECAT"	"people/square km"		
"LAND"	"PRECIP8110"					"PRISM climate data - 30-year normal mean precipitation (mm): Annual period: 1981-2010 within the watershed"													"LAKECAT"	"mm"		
"LAND"	"PSUM6M"					"total average precipitation for 6 months prior to sampling (6 months)"													"NLA2012"	"mm"		
"LAND"	"PSUM6M_PT"					"total average precipitation for 6 months prior to sampling (6 months)"													"NLA2012"	"mm"		
"LAND"	"PSUMPY"					"total average precip for 12 months prior to sampling (12 months)"													"NLA2012"	"mm"		
"LAND"	"PSUMPY_PT"					"total average precip for 12 months prior to sampling (12 months)"													"NLA2012"	"mm"		
"LAND"	"RCKDEP"					"Mean depth (cm) to bedrock of soils (STATSGO) within watershed"													"LAKECAT"	"cm"		
"LAND"	"RDCRS"					"Density of roads-stream intersections (2010 Census Tiger Lines-NHD stream lines) within watershed (crossings/square km)"													"LAKECAT"	"crossings/square km"		
"LAND"	"RDDENS"					"Density of roads (2010 Census Tiger Lines) within watershed (km/square km)"													"LAKECAT"	"km/square km"		
"LAND"	"RUNOFF"					"Mean runoff (mm) within watershed"													"LAKECAT"	"mm"		
"LAND"	"S"					"Mean % of lithological sulfur (S) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"SAND"					"Mean % sand content of soils (STATSGO) within watershed"													"LAKECAT"	"%"		
"LAND"	"SIO2"					"Mean % of lithological silicon dioxide (SiO2) content in surface or near surface geology within watershed"													"LAKECAT"	"Mean %"		
"LAND"	"SN_2008"					"Annual gradient map of preciptiation-weighted mean deposition for average sulfur & nitrogen wet deposition for 2008 in kg of S+N/ha/yr, within watershed"													"LAKECAT"	"kg of S+N/ha/yr"		
"LAND"	"SUPERFUNDDENS"					"Density of Superfund sites within watershed (sites/square km)"													"LAKECAT"	"sites/square km"		
"LAND"	"TIP"					"monthly mean air temperature of index period (5 months)"													"NLA2012"	"deg C"		
"LAND"	"TIP_PT"					"monthly mean air temperature of index period (5 months)"													"NLA2012"	"deg C"		
"LAND"	"TMAX8110"					"PRISM climate data - 30-year normal maximum temperature (C°): Annual period: 1981-2010 within the watershed"													"LAKECAT"	"C°"		
"LAND"	"TMEAN8110"					"PRISM climate data - 30-year normal mean temperature (C°): Annual period: 1981-2010 within the watershed"													"LAKECAT"	"C°"		
"LAND"	"TMEANPW"					"monthly mean air temperature of prior winter"													"NLA2012"	"deg C"		
"LAND"	"TMEANPW_PT"					"monthly mean air temperature of prior winter"													"NLA2012"	"deg C"		
"LAND"	"TMEANPY"					"mean temperature for year prior to sampling (12 months)"													"NLA2012"	"deg C"		
"LAND"	"TMEANPY_PT"					"mean temperature for year prior to sampling (12 months)"													"NLA2012"	"deg C"		
"LAND"	"TMIN8110"					"PRISM climate data - 30-year normal minimum temperature (C°): Annual period: 1981-2010 within the watershed"													"LAKECAT"	"C°"		
"LAND"	"TRIDENS"					"Density of TRI (Toxic Release Inventory) sites within watershed (sites/square km)"													"LAKECAT"	"sites/square km"		
"LAND"	"WETINDEX"					"Mean Composite Topographic Index (CTI)[Wetness Index] within watershed"													"LAKECAT"	"Index value"		
"LAND"	"WSAREASQKM"					"Watershed area in sq. km"													"NLA2012"	"km2"		
"LAND"	"WTDEP"					"Mean seasonal water table depth (cm) of soils (STATSGO) within watershed"													"LAKECAT"	"cm"		
"VERIF"	"DATE_COL"	"DATE_COL"	"VERIFICATION"	""	"equals"	"Date collected"	"{}"	"doNotMap"	"{\"FIELDLOCATION\":\"1\"}"	""	"doNotMap"		"DATE_COL_1"	"V1_VER"	""	"monthPortion"	""	""				
"VERIF"	"SITE_ID"	"SITE_ID"	"VERIFICATION"	""	"equals"	"Identification code for site"	"{}"	"doNotMap"	"{}"	""	"doNotMap"	""	"SITE_ID"	"V1_VER"	""	"equals"	""	""			"CHARACTER"	
"VERIF"	"VISIT_NO"	"VISIT_NO"	"VERIFICATION"		"equals"	"Sequential number of visit to site"	"{}"	"doNotMap"	"{}"	""	"doNotMap"	"|1|2"	"VISIT_NO"	"V1_VER"	"|1|2"	"translate"	""	""			"CHARACTER"	
	"UID"																					"Unique identifier for the site/visit"
